brand,ch_pillar,sub_category,founders,funding_status,independent_check,revenue_fy_inr_cr,pat_or_margin,online_presence,fit_verdict,confidence,sources,legal_entity,notes
Jaipur Fabric,Soft Furnishings,Bedsheets/comforters/dohars/quilts,Jayant Maheshwari; Chhavi Heda (2012),Bootstrapped (no rounds - Tracxn),Independent,"~6.6 (FY23, Tracxn)",unknown,Own Shopify + Amazon + Flipkart + Vaaree + UAE site,Strong,Med-High,https://www.jaipurfabric.com/pages/about-us | https://tracxn.com/d/companies/jaipur-fabric,JaipurFabric (Rajasthan),Core dohar/bedsheet fit; verify PAT via MCA
Urban Space,Soft Furnishings,Bed linen/dohars/bed covers (+curtains/rugs),Rohit Agarwal; Radhika Koolwal (2018),"Bootstrapped & profitable (Shark Tank S3, took no deal)",Independent,"unknown (stated profitable, 100%+ 5yr growth)",unknown,Large own D2C (urbanspacestore.in),Strong,Med,https://startuptalky.com/urban-space-success-story/ | https://financemythos.com/urban-space-rohit-radika-shark-tank-investment/,Urban Space Home Furnishing (Ahmedabad),Assortment broader than bedding
Amouve,Soft Furnishings,Organic-cotton bedding (sheets/comforters/quilts),Ami Sata; Saurabh Sata (2017),Likely bootstrapped (no VC/PE found),Independent,unknown (~20% YoY cited),unknown,Own site + marketplaces,Medium-Strong,Med,https://prakati.in/changemakers/amouve-organic-cotton-bed-sheets-bath-towels/ | https://www.tofler.in/amouve-bedding-private-limited/company/U17214KA2016PTC085750,Amouve Bedding Pvt Ltd (CIN U17214KA2016PTC085750),GOTS premium niche; confirm scale
Houmn,Soft Furnishings,Premium designer bedding (+cushions/table linen),Rishabh Jain (2020/inc 2022),Bootstrapped (no rounds - Tracxn),Independent,unknown,unknown,"Own site + Tata CLiQ Luxury, Pernia's, Myntra",Medium,Low-Med,https://houmn.com/pages/about-us | https://www.thecompanycheck.com/company/houmn-furnishing-private-limited/U52394RJ2022PTC082176,Houmn Furnishing Pvt Ltd (CIN U52394RJ2022PTC082176),Young; profitability unproven
Teertha India,Soft Furnishings,Premium handmade home linen + quilted,Interior designer founder (name unconfirmed),Presumed bootstrapped (unconfirmed),Appears independent,unknown,unknown,Own D2C; boutique scale,Medium-Weak,Low,https://teerthaindia.com/pages/about-us,Teertha India (Gurugram),Founder/financials unverified; likely small
Rugs and Beyond,Soft Furnishings,Handmade rugs/carpets/dhurries (D2C),Sakshi Talwar,Bootstrapped (no rounds - Crunchbase/YourStory),Independent,conflicting/unverified (~2.17 FY22 cited),unknown,"Own D2C site, worldwide shipping",Strong,Med (financials Low),https://crunchbase.com/organization/rugs-and-beyond | https://yourstory.com/companies/rugs-and-beyond,Rugs and Beyond Pvt Ltd,Cleanest bootstrapped pure-play rug brand; verify PAT
The Indian Rug,Soft Furnishings,Bespoke handcrafted rugs/carpets,"Sheli Lunawat; Rishita (siblings, Surat)",No external funding found (bootstrapped plausible),Appears independent (check export entity),unknown,unknown,"Own site + designer collabs, premium",Strong,Med (financials Low),https://theindianrug.com/about | https://linkedin.com/company/the-indian-rug,unconfirmed (Surat),Started as export firm; diligence on assoc. entity
Borderline Play,Soft Furnishings,Rugs (+furniture/cushions/table linen),Anica Kochhar; Priyanka Singh (2018),No funding found; LLP (bootstrapped likely),Independent founder-owned LLP,unknown,unknown,Own site; design-press featured; niche,Medium,Med,https://zaubacorp.com/BORDERLINE-STUDIO-LLP-AAM-2082 | https://borderlineplay.in/pages/our-story,Borderline Studio LLP (AAM-2082),"Multi-category, likely sub-scale"
GharGhar,Soft Furnishings,Eco-friendly jute rugs/floor coverings,Unknown (red flag for founder filter),No funding records; bootstrapped plausible,Appears independent/small,unknown,unknown,Jaipur online + Instagram; small,Weak,Low,https://lbb.in/delhi/gharghar-home-decor-shop-online/,unknown,Founder identity + scale unverified
The Purple Turtles (+Oorjaa),Decor & Home Improvement,Decorative/designer lighting,Radeesh Shetty; Gaurav Rai; Jenny Pinto (Oorjaa),Bootstrapped (Tracxn),Independent,"~26.7 (FY25, Tracxn)",unknown (PAT unverified),D2C site + Bengaluru stores,Strong,Med-High,https://tracxn.com/d/companies/thepurpleturtles | https://yourstory.com/2017/01/the-purple-turtles,Purple Turtles Lighting Ideas Pvt Ltd (CIN U74999KA2012PTC065951),Oorjaa in same entity; confirm PAT
Hatsu,Decor & Home Improvement,Minimalist decorative lighting (+furniture/carpets),Saumil Suchak; Yashvi Suchak (2019),No funding found (bootstrapped),Independent LLP,unknown,unknown,Strong D2C hatsu.in + Mumbai showroom,Strong,Med,https://www.hatsu.in/pages/about-hatsu | https://www.thecompanycheck.com/company/hatsu-india-llp/AAQ-8275,Hatsu India LLP (AAQ-8275),NOT Hatsu Labs (gaming). Verify scale
Klove Studio,Decor & Home Improvement,Luxury bespoke handblown-glass lighting,Prateek Jain; Gautam Seth,No external funding found,Independent,unknown,unknown,klovestudio.com; intl retail,Medium,Low-Med,https://thedesignsoc.com/designer-profile-prateek-jain-gautam-seth-co-founders-klove-studio/,unconfirmed (New Delhi),Bespoke/B2B model - weaker D2C roll-up fit
Gharko,Decor & Home Improvement,D2C decorative lighting (lamps),Sanni Sahil; Anjali,No funding found,Independent,unknown,unknown,gharko.in (Shopify) + Instagram,Weak,Low,https://gharko.in/pages/about,unconfirmed (Pune),Early-stage; entity unconfirmed
Fos Lighting,Decor & Home Improvement,Decorative lighting (chandeliers/pendants),Family-run (Rohatgi; since 1950),No external funding found (family-owned),Independent family firm,unknown,unknown,foslighting.in + Amazon/IndiaMART,Medium,Low-Med,https://www.foslighting.in/about-us,Fos Designs & Services Pvt Ltd,Confirm founder-led vs legacy mgmt
The Yard House,Soft Furnishings,Table linen (tablecloths/placemats/runners),Indira Prashant (+mother),"Bootstrapped, profitable from day 1",Independent,~3,Profitable (stated),Own site 65% + Amazon 35%,Strong,High,https://thebetterindia.com/406590/ | https://theyardhouse.in/pages/about-us,unconfirmed,Exact pure-play fit; small scale ~3cr
